data/FNSet/0_34.binvox,38
data/FNSet/11_733.binvox,29
data/FNSet/16_446.binvox,31
data/FNSet/18_415.binvox,20
data/FNSet/4_376.binvox,20
data/FNSet/3_807.binvox,21
data/FNSet/5_856.binvox,24
data/FNSet/14_86.binvox,21
data/FNSet/15_899.binvox,48
data/FNSet/7_750.binvox,49
data/FNSet/9_141.binvox,16
data/FNSet/13_61.binvox,40
data/FNSet/15_928.binvox,50
data/FNSet/12_491.binvox,10
data/FNSet/11_34.binvox,32
data/FNSet/10_849.binvox,29
data/FNSet/21_169.binvox,4
data/FNSet/17_390.binvox,55
data/FNSet/6_698.binvox,20
data/FNSet/15_451.binvox,42
data/FNSet/4_412.binvox,16
data/FNSet/7_12.binvox,37
data/FNSet/23_190.binvox,36
data/FNSet/3_616.binvox,33
data/FNSet/7_273.binvox,26
data/FNSet/12_382.binvox,15
data/FNSet/12_414.binvox,19
data/FNSet/15_495.binvox,49
data/FNSet/7_356.binvox,47
data/FNSet/20_900.binvox,34
data/FNSet/12_277.binvox,16
data/FNSet/0_654.binvox,37
data/FNSet/0_877.binvox,13
data/FNSet/12_996.binvox,35
data/FNSet/3_959.binvox,38
data/FNSet/18_75.binvox,42
data/FNSet/16_258.binvox,31
data/FNSet/17_975.binvox,42
data/FNSet/17_255.binvox,46
data/FNSet/2_697.binvox,12
data/FNSet/13_804.binvox,35
data/FNSet/10_945.binvox,23
data/FNSet/2_567.binvox,45
data/FNSet/21_288.binvox,7
data/FNSet/20_512.binvox,22
data/FNSet/7_142.binvox,53
data/FNSet/23_628.binvox,19
data/FNSet/20_791.binvox,10
data/FNSet/2_357.binvox,38
data/FNSet/10_969.binvox,40
data/FNSet/19_638.binvox,32
data/FNSet/5_393.binvox,43
data/FNSet/4_482.binvox,7
data/FNSet/17_982.binvox,42
data/FNSet/9_690.binvox,35
data/FNSet/2_712.binvox,40
data/FNSet/6_463.binvox,14
data/FNSet/11_856.binvox,32
data/FNSet/15_434.binvox,36
data/FNSet/3_726.binvox,29
data/FNSet/4_850.binvox,42
data/FNSet/18_365.binvox,24
data/FNSet/16_550.binvox,45
data/FNSet/0_97.binvox,19
data/FNSet/10_571.binvox,8
data/FNSet/20_981.binvox,29
data/FNSet/13_936.binvox,36
data/FNSet/19_832.binvox,27
data/FNSet/10_340.binvox,39
data/FNSet/9_959.binvox,4
data/FNSet/22_304.binvox,34
data/FNSet/22_640.binvox,30
data/FNSet/19_241.binvox,33
data/FNSet/19_363.binvox,32
data/FNSet/23_851.binvox,23
data/FNSet/5_148.binvox,48
data/FNSet/6_338.binvox,17
data/FNSet/0_717.binvox,54
data/FNSet/6_738.binvox,9
data/FNSet/21_740.binvox,6
data/FNSet/9_967.binvox,35
data/FNSet/10_895.binvox,42
data/FNSet/3_952.binvox,4
data/FNSet/17_210.binvox,56
data/FNSet/18_807.binvox,18
data/FNSet/14_865.binvox,7
data/FNSet/0_261.binvox,53
data/FNSet/21_911.binvox,4
data/FNSet/3_817.binvox,44
data/FNSet/19_636.binvox,46
data/FNSet/3_462.binvox,4
data/FNSet/16_948.binvox,19
data/FNSet/15_263.binvox,46
data/FNSet/12_699.binvox,18
data/FNSet/11_976.binvox,16
data/FNSet/6_811.binvox,43
data/FNSet/5_780.binvox,29
data/FNSet/19_88.binvox,4
data/FNSet/20_38.binvox,43
data/FNSet/21_730.binvox,8
data/FNSet/22_551.binvox,34
data/FNSet/14_347.binvox,46
data/FNSet/8_344.binvox,24
data/FNSet/10_106.binvox,44
data/FNSet/4_8.binvox,8
data/FNSet/23_249.binvox,16
data/FNSet/0_874.binvox,25
